name,ingredients,score,color
"after-shave",16.36,3.13,"#FD8D3C"
"anti-aging",24.14,4.08,"#FDAE6B"
"baby-lotion",19.29,5.38,"#FDD0A2"
"baby-shampoo",15.66,6.09,"#FEE6CE"
"baby-soap-bath",14.1,6.11,"#FEE6CE"
"baby-sunscreen",20.34,4.38,"#FDAE6B"
"baby-wipes",12.08,4.6,"#FDAE6B"
"body-wash-cleanser",19.87,4.43,"#FDAE6B"
"bubble-bath",18.14,4.01,"#FDAE6B"
"concealer-foundation",22.51,3.1,"#FD8D3C"
"conditioner",21.18,3.98,"#FD8D3C"
"dental-floss",5.65,8.47,"#808080"
"deodorants-antiperspirants-mens",9.5,5.12,"#FDD0A2"
"deodorants-antiperspirants-womens",10.53,5.29,"#FDD0A2"
"eye-makeup",20.33,4.02,"#FDAE6B"
"feminine-moisturizer",9.11,4.89,"#FDAE6B"
"feminine-powder_deodorant",9.95,5.05,"#FDD0A2"
"foot-care",15.81,4.01,"#FDAE6B"
"fragrance-for-men",9.54,3.19,"#FD8D3C"
"fragrance-for-women",9.7,4.47,"#FDAE6B"
"hair-spray",15.29,4.64,"#FDAE6B"
"hand-sanitizer",10.91,5.69,"#FDD0A2"
"lipstick-lip-gloss-balm",25.77,4.08,"#FDAE6B"
"moisturizer",22.7,3.82,"#FD8D3C"
"mouthwash",12,5.62,"#FDD0A2"
"nail-polish",23.14,3.89,"#FD8D3C"
"personal-cleansing",11.08,5.25,"#FDD0A2"
"scrubs-oils-powders",12.02,5.97,"#FDD0A2"
"shampoo",22.54,4.09,"#FDAE6B"
"shaving-cream",19.63,3.73,"#FD8D3C"
"soap",13.66,5.44,"#FDD0A2"
"sunless-tanning",25.46,1.72,"#D94801"
"sunscreen-below-spf-15",18.18,3.94,"#FD8D3C"
"sunscreen-spf-15-above",22.5,4.23,"#FDAE6B"
"tanning-oil",17.78,1.97,"#D94801"
"toothpaste",14.75,4.99,"#FDAE6B"
